code,Field title
27677,Mean thickness of S-front-middle (right hemisphere)
27456,Mean thickness of S-front-sup (left hemisphere)
27678,Mean thickness of S-front-sup (right hemisphere)
27457,Mean thickness of S-interm-prim-Jensen (left hemisphere)
27679,Mean thickness of S-interm-prim-Jensen (right hemisphere)
27458,Mean thickness of S-intrapariet+P-trans (left hemisphere)
27680,Mean thickness of S-intrapariet+P-trans (right hemisphere)
27459,Mean thickness of S-oc-middle+Lunatus (left hemisphere)
27681,Mean thickness of S-oc-middle+Lunatus (right hemisphere)
27460,Mean thickness of S-oc-sup+transversal (left hemisphere)
27682,Mean thickness of S-oc-sup+transversal (right hemisphere)
27462,Mean thickness of S-oc-temp-lat (left hemisphere)
27684,Mean thickness of S-oc-temp-lat (right hemisphere)
27463,Mean thickness of S-oc-temp-med+Lingual (left hemisphere)
27685,Mean thickness of S-oc-temp-med+Lingual (right hemisphere)
27461,Mean thickness of S-occipital-ant (left hemisphere)
27683,Mean thickness of S-occipital-ant (right hemisphere)
27466,Mean thickness of S-orbital-H-Shaped (left hemisphere)
27688,Mean thickness of S-orbital-H-Shaped (right hemisphere)
27464,Mean thickness of S-orbital-lateral (left hemisphere)
27686,Mean thickness of S-orbital-lateral (right hemisphere)
27465,Mean thickness of S-orbital-med-olfact (left hemisphere)
27687,Mean thickness of S-orbital-med-olfact (right hemisphere)
27467,Mean thickness of S-parieto-occipital (left hemisphere)
27689,Mean thickness of S-parieto-occipital (right hemisphere)
27468,Mean thickness of S-pericallosal (left hemisphere)
27690,Mean thickness of S-pericallosal (right hemisphere)
27469,Mean thickness of S-postcentral (left hemisphere)
27691,Mean thickness of S-postcentral (right hemisphere)
27470,Mean thickness of S-precentral-inf-part (left hemisphere)
27692,Mean thickness of S-precentral-inf-part (right hemisphere)
27471,Mean thickness of S-precentral-sup-part (left hemisphere)
27693,Mean thickness of S-precentral-sup-part (right hemisphere)
27472,Mean thickness of S-suborbital (left hemisphere)
27694,Mean thickness of S-suborbital (right hemisphere)
27473,Mean thickness of S-subparietal (left hemisphere)
27695,Mean thickness of S-subparietal (right hemisphere)
27474,Mean thickness of S-temporal-inf (left hemisphere)
27696,Mean thickness of S-temporal-inf (right hemisphere)
27475,Mean thickness of S-temporal-sup (left hemisphere)
27697,Mean thickness of S-temporal-sup (right hemisphere)
27476,Mean thickness of S-temporal-transverse (left hemisphere)
27698,Mean thickness of S-temporal-transverse (right hemisphere)
27482,Volume of G+S-cingul-Ant (left hemisphere)
27704,Volume of G+S-cingul-Ant (right hemisphere)
27483,Volume of G+S-cingul-Mid-Ant (left hemisphere)
27705,Volume of G+S-cingul-Mid-Ant (right hemisphere)
27484,Volume of G+S-cingul-Mid-Post (left hemisphere)
27706,Volume of G+S-cingul-Mid-Post (right hemisphere)
27477,Volume of G+S-frontomargin (left hemisphere)
27699,Volume of G+S-frontomargin (right hemisphere)
27478,Volume of G+S-occipital-inf (left hemisphere)
27700,Volume of G+S-occipital-inf (right hemisphere)
27479,Volume of G+S-paracentral (left hemisphere)
27701,Volume of G+S-paracentral (right hemisphere)
27480,Volume of G+S-subcentral (left hemisphere)
27702,Volume of G+S-subcentral (right hemisphere)
27481,Volume of G+S-transv-frontopol (left hemisphere)
27703,Volume of G+S-transv-frontopol (right hemisphere)
27493,Volume of G-Ins-lg+S-cent-ins (left hemisphere)
27715,Volume of G-Ins-lg+S-cent-ins (right hemisphere)
27485,Volume of G-cingul-Post-dorsal (left hemisphere)
27707,Volume of G-cingul-Post-dorsal (right hemisphere)
27486,Volume of G-cingul-Post-ventral (left hemisphere)
27708,Volume of G-cingul-Post-ventral (right hemisphere)
27487,Volume of G-cuneus (left hemisphere)
27709,Volume of G-cuneus (right hemisphere)
27488,Volume of G-front-inf-Opercular (left hemisphere)
27710,Volume of G-front-inf-Opercular (right hemisphere)
27489,Volume of G-front-inf-Orbital (left hemisphere)
27711,Volume of G-front-inf-Orbital (right hemisphere)
27490,Volume of G-front-inf-Triangul (left hemisphere)
27712,Volume of G-front-inf-Triangul (right hemisphere)
27491,Volume of G-front-middle (left hemisphere)
27713,Volume of G-front-middle (right hemisphere)
27492,Volume of G-front-sup (left hemisphere)
27714,Volume of G-front-sup (right hemisphere)
27494,Volume of G-insular-short (left hemisphere)
27716,Volume of G-insular-short (right hemisphere)
27497,Volume of G-oc-temp-lat-fusifor (left hemisphere)
27719,Volume of G-oc-temp-lat-fusifor (right hemisphere)
27498,Volume of G-oc-temp-med-Lingual (left hemisphere)
27720,Volume of G-oc-temp-med-Lingual (right hemisphere)
27499,Volume of G-oc-temp-med-Parahip (left hemisphere)
27721,Volume of G-oc-temp-med-Parahip (right hemisphere)
27495,Volume of G-occipital-middle (left hemisphere)
27717,Volume of G-occipital-middle (right hemisphere)
27496,Volume of G-occipital-sup (left hemisphere)
27718,Volume of G-occipital-sup (right hemisphere)
27500,Volume of G-orbital (left hemisphere)
27722,Volume of G-orbital (right hemisphere)
27501,Volume of G-pariet-inf-Angular (left hemisphere)
27723,Volume of G-pariet-inf-Angular (right hemisphere)
27502,Volume of G-pariet-inf-Supramar (left hemisphere)
27724,Volume of G-pariet-inf-Supramar (right hemisphere)
27503,Volume of G-parietal-sup (left hemisphere)
27725,Volume of G-parietal-sup (right hemisphere)
27504,Volume of G-postcentral (left hemisphere)
27726,Volume of G-postcentral (right hemisphere)
27505,Volume of G-precentral (left hemisphere)
27727,Volume of G-precentral (right hemisphere)
27506,Volume of G-precuneus (left hemisphere)
27728,Volume of G-precuneus (right hemisphere)
27507,Volume of G-rectus (left hemisphere)
27729,Volume of G-rectus (right hemisphere)
27508,Volume of G-subcallosal (left hemisphere)
27730,Volume of G-subcallosal (right hemisphere)
27509,Volume of G-temp-sup-G-T-transv (left hemisphere)
